neighbourhood_group,neighbourhood,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,availability_365,host_type
Brooklyn,Kensington,Private room,149,1,9,0.21,365,Profesional
Manhattan,Midtown,Entire home/apt,225,1,45,0.38,355,Profesional
Manhattan,Harlem,Private room,150,3,0,0.0,365,Ocasional
Brooklyn,Clinton Hill,Entire home/apt,89,1,270,4.64,194,Ocasional
Manhattan,East Harlem,Entire home/apt,80,10,9,0.1,0,Ocasional
Manhattan,Murray Hill,Entire home/apt,200,3,74,0.59,129,Ocasional
Brooklyn,Bedford-Stuyvesant,Private room,60,45,49,0.4,0,Ocasional
Manhattan,Hell's Kitchen,Private room,79,2,430,3.47,220,Ocasional
Manhattan,Upper West Side,Private room,79,2,118,0.99,0,Ocasional
Manhattan,Chinatown,Entire home/apt,150,1,160,1.33,188,Profesional
Manhattan,Upper West Side,Entire home/apt,135,5,53,0.43,6,Ocasional
Manhattan,Hell's Kitchen,Private room,85,2,188,1.5,39,Ocasional
Brooklyn,South Slope,Private room,89,4,167,1.34,314,Profesional
Manhattan,Upper West Side,Private room,85,2,113,0.91,333,Ocasional
Manhattan,West Village,Entire home/apt,120,90,27,0.22,0,Ocasional
Brooklyn,Williamsburg,Entire home/apt,140,2,148,1.2,46,Ocasional
Brooklyn,Fort Greene,Entire home/apt,215,2,198,1.72,321,Ocasional
Manhattan,Chelsea,Private room,140,1,260,2.12,12,Ocasional
Brooklyn,Crown Heights,Entire home/apt,99,3,53,4.44,21,Ocasional
Manhattan,East Harlem,Entire home/apt,190,7,0,0.0,249,Profesional
Brooklyn,Williamsburg,Entire home/apt,299,3,9,0.07,0,Ocasional
Brooklyn,Park Slope,Private room,130,2,130,1.09,347,Profesional
Brooklyn,Park Slope,Private room,80,1,39,0.37,364,Profesional
Brooklyn,Park Slope,Private room,110,2,71,0.61,304,Profesional
Brooklyn,Bedford-Stuyvesant,Entire home/apt,120,2,88,0.73,233,Profesional
Brooklyn,Windsor Terrace,Private room,60,1,19,1.37,85,Profesional
Manhattan,Inwood,Private room,80,4,0,0.0,0,Ocasional
Manhattan,Hell's Kitchen,Entire home/apt,150,10,58,0.49,75,Ocasional
Manhattan,Inwood,Private room,44,3,108,1.11,311,Profesional
Manhattan,East Village,Entire home/apt,180,14,29,0.24,67,Ocasional
Manhattan,Harlem,Private room,50,3,242,2.04,355,Profesional
Manhattan,Harlem,Private room,52,2,88,1.42,255,Ocasional
Brooklyn,Greenpoint,Private room,55,4,197,1.65,284,Profesional
Manhattan,Harlem,Private room,50,3,273,2.37,359,Profesional
Brooklyn,Bedford-Stuyvesant,Private room,70,1,74,0.66,269,Profesional
Brooklyn,South Slope,Private room,89,4,168,1.41,340,Profesional
Brooklyn,Bedford-Stuyvesant,Private room,35,60,0,0.0,365,Ocasional
Brooklyn,Bushwick,Entire home/apt,85,2,231,1.96,22,Profesional
Brooklyn,Flatbush,Private room,150,1,0,0.0,365,Ocasional
Manhattan,Lower East Side,Shared room,40,1,214,1.81,188,Profesional
Manhattan,East Village,Private room,68,2,245,2.08,96,Profesional
Brooklyn,South Slope,Entire home/apt,120,3,15,0.39,345,Ocasional
Brooklyn,Fort Greene,Private room,120,7,25,0.23,311,Ocasional
Manhattan,Upper West Side,Private room,135,4,81,0.69,273,Ocasional
Manhattan,Harlem,Entire home/apt,150,7,97,0.84,309,Ocasional
Brooklyn,Prospect-Lefferts Gardens,Entire home/apt,150,29,11,0.49,95,Ocasional
Queens,Long Island City,Private room,130,3,248,2.25,215,Ocasional
Brooklyn,Bedford-Stuyvesant,Entire home/apt,110,7,61,0.52,265,Ocasional
Brooklyn,Bedford-Stuyvesant,Entire home/apt,115,3,11,0.1,0,Ocasional
Brooklyn,Fort Greene,Private room,80,3,135,1.16,192,Profesional
